Citation,SE Area,Year,Venue
Caetano-2002-AAAI,Design,2002,AAAI
Coyette-2007-INTERACT,Design,2007,INTERACT
Dixon-2011-CHI,Maintenance and Comprehension,2011,CHI
Seifert-2011-MobileHCI,Design,2011,MobileHCI
Natarajan-2018-MOBILESoft,Maintenance and Comprehension,2018,MOBILESoft
Huang-2019-CHI,Design,2019,CHI
Alegroth-2013-ICST,Testing,2013,ICST
Amalfitano-2014-WISE,Testing,2014,WISE
Bajammal-2018-ICST,Testing,2018,ICST
Bajammal-2018-ICST,Maintenance and Comprehension,2018,ICST
Bajammal-2018-ASE,Development,2018,ASE
Bajammal-2018-ASE,Maintenance and Comprehension,2018,ASE
Bao-2017-EMSE,Development,2017,EMSE
Bao-2017-EMSE,Design,2017,EMSE
Bao-2018-TSE,Development,2018,TSE
Burg-2015-UIST,Maintenance and Comprehension,2015,UIST
Chang-2010-CHI,Testing,2010,CHI
Chen-2017-IUI,Testing,2017,IUI
Choudhary-2010-ICSM,Testing,2010,ICSM
Choudhary-2012-ICST,Testing,2012,ICST
Choudhary-2013-ICSE,Testing,2013,ICSE
Deka-2016-UIST,Design,2016,UIST
Deka-2016-UIST,Development,2016,UIST
Deka-2016-UIST,Testing,2016,UIST
Deka-2016-UIST,Maintenance and Comprehension,2016,UIST
Deka-2017-UIST,Development,2017,UIST
Deka-2017-UIST,Testing,2017,UIST
Deka-2017-UIST,Maintenance and Comprehension,2017,UIST
Deka-2017-UIST,Design,2017,UIST
Delamaro-2011-STVR,Testing,2011,STVR
Feng-2016-ASE,Testing,2016,ASE
He-2016-ICWS,Testing,2016,ICWS
Hori-2015-SEKE,Testing,2015,SEKE
Kirac-2018-JSS,Testing,2018,JSS
Kuchta-2018-EMSE,Testing,2018,EMSE
Leotta-2018-STVR,Testing,2018,STVR
Leotta-2018-STVR,Maintenance and Comprehension,2018,STVR
Li-2010-CHI,Requirements,2010,CHI
Li-2010-CHI,Design,2010,CHI
Lin-2014-TSE,Testing,2014,TSE
Mahajan-2014-ASE,Testing,2014,ASE
Mahajan-2015-ICST,Testing,2015,ICST
Mahajan-2016-ICST,Testing,2016,ICST
Moran-2018-ICSE,Testing,2018,ICSE
Moran-2018-TSE,Design,2018,TSE
Moran-2018-TSE,Development,2018,TSE
Moran-2018-ASE,Development,2018,ASE
Nguyen-2015-ASE,Development,2015,ASE
Nguyen-2015-ASE,Maintenance and Comprehension,2015,ASE
Patric-2016-ASE,Testing,2016,ASE
Ponzanelli-2016-ICSE,Development,2016,ICSE
Reiss-2018-ASEj,Development,2018,ASEj
Scharf-2013-ICSE,Requirements,2013,ICSE
Selay-2014-DICTA,Testing,2014,DICTA
Semenenko-2013-ICSM,Testing,2013,ICSM
Stocco-2018-FSE,Testing,2018,FSE
Stocco-2018-FSE,Maintenance and Comprehension,2018,FSE
Tanno-2018-ICST,Testing,2018,ICST
Wan-2017-STVR,Testing,2017,STVR
Wan-2017-STVR,Development,2017,STVR
Xu-2018-TOIT,Testing,2018,TOIT
Xiao-2019-ICSE,Testing,2019,ICSE
Zhang-2017-ASE,Testing,2017,ASE
