Citation,Rationale
Caetano-2002-AAAI,Ease
Coyette-2007-INTERACT,Ease
Dixon-2011-CHI,Robustness
Seifert-2011-MobileHCI,Context-driven
Natarajan-2018-MOBILESoft,Context-driven
Huang-2019-CHI,Context-driven
Alegroth-2013-ICST,Context-driven
Alegroth-2013-ICST,Robustness
Amalfitano-2014-WISE,Context-driven
Amalfitano-2014-WISE,Ease
Bajammal-2018-ICST,Context-driven
Bajammal-2018-ASE,Ease
Bao-2017-EMSE,Context-driven
Bao-2017-EMSE,Ease
Bao-2018-TSE,Ease
Burg-2015-UIST,Context-driven
Chang-2010-CHI,Context-driven
Chang-2010-CHI,Robustness
Chen-2017-IUI,Context-driven
Chen-2017-IUI,Ease
Choudhary-2010-ICSM,Ease
Choudhary-2012-ICST,Ease
Choudhary-2013-ICSE,Ease
Deka-2016-UIST,Context-driven



Deka-2017-UIST,Context-driven



Delamaro-2011-STVR,Context-driven
Delamaro-2011-STVR,Ease
Feng-2016-ASE,Context-driven
He-2016-ICWS,Context-driven
He-2016-ICWS,Ease
Hori-2015-SEKE,Context-driven
Kirac-2018-JSS,Context-driven
Kuchta-2018-EMSE,Context-driven
Kuchta-2018-EMSE,Ease
Leotta-2018-STVR,Context-driven

Li-2010-CHI,Context-driven


Lin-2014-TSE,Ease
Mahajan-2014-ASE,Ease
Mahajan-2015-ICST,Context-driven
Mahajan-2015-ICST,Ease
Mahajan-2016-ICST,Context-driven
Mahajan-2016-ICST,Ease
Moran-2018-ICSE,Ease
Moran-2018-ICSE,Context-driven
Moran-2018-TSE,Ease

Moran-2018-ASE,Ease
Nguyen-2015-ASE,Context-driven

Patric-2016-ASE,Context-driven
Ponzanelli-2016-ICSE,Context-driven
Reiss-2018-ASEj,Context-driven
Scharf-2013-ICSE,Context-driven
Selay-2014-DICTA,Context-driven
Selay-2014-DICTA,Ease
Semenenko-2013-ICSM,Ease
Stocco-2018-FSE,Ease

Tanno-2018-ICST,Ease
Tanno-2018-ICST,Robustness
Wan-2017-STVR,Context-driven

Xu-2018-TOIT,Context-driven
Xu-2018-TOIT,Ease
Xiao-2019-ICSE,Ease
Zhang-2017-ASE,Ease
