Citation,Artifact
Caetano-2002-AAAI,Natural Input Artifacts
Coyette-2007-INTERACT,Natural Input Artifacts
Dixon-2011-CHI,Full-Interface Visual Artifacts
Seifert-2011-MobileHCI,Natural Input Artifacts
Natarajan-2018-MOBILESoft,Full-Interface Visual Artifacts
Huang-2019-CHI,Natural Input Artifacts
Alegroth-2013-ICST,Component Visual Artifacts
Amalfitano-2014-WISE,Component Visual Artifacts
Bajammal-2018-ICST,Component Visual Artifacts
Bajammal-2018-ASE,Component Visual Artifacts
Bao-2017-EMSE,Video Artifacts
Bao-2018-TSE,Video Artifacts
Burg-2015-UIST,Component Visual Artifacts
Chang-2010-CHI,Component Visual Artifacts
Chen-2017-IUI,Full-Interface Visual Artifacts
Choudhary-2010-ICSM,Full-Interface Visual Artifacts
Choudhary-2012-ICST,Full-Interface Visual Artifacts
Choudhary-2013-ICSE,Full-Interface Visual Artifacts
Deka-2016-UIST,Full-Interface Visual Artifacts
Deka-2017-UIST,Full-Interface Visual Artifacts
Delamaro-2011-STVR,Full-Interface Visual Artifacts
Feng-2016-ASE,Full-Interface Visual Artifacts
He-2016-ICWS,Full-Interface Visual Artifacts
Hori-2015-SEKE,Full-Interface Visual Artifacts
Kirac-2018-JSS,Full-Interface Visual Artifacts
Kuchta-2018-EMSE,Full-Interface Visual Artifacts
Leotta-2018-STVR,Component Visual Artifacts
Li-2010-CHI,Video Artifacts
Lin-2014-TSE,Video Artifacts
Mahajan-2014-ASE,Component Visual Artifacts
Mahajan-2015-ICST,Full-Interface Visual Artifacts
Mahajan-2016-ICST,Full-Interface Visual Artifacts
Moran-2018-ASE,Full-Interface Visual Artifacts
Moran-2018-ICSE,Full-Interface Visual Artifacts
Moran-2018-TSE,Full-Interface Visual Artifacts
Nguyen-2015-ASE,Full-Interface Visual Artifacts
Patric-2016-ASE,Full-Interface Visual Artifacts
Ponzanelli-2016-ICSE,Video Artifacts
Reiss-2018-ASEj,Natural Input Artifacts
Scharf-2013-ICSE,Natural Input Artifacts
Selay-2014-DICTA,Component Visual Artifacts
Stocco-2018-FSE,Component Visual Artifacts
Semenenko-2013-ICSM,Full-Interface Visual Artifacts
Tanno-2018-ICST,Full-Interface Visual Artifacts
Wan-2017-STVR,Full-Interface Visual Artifacts
Xiao-2019-ICSE,Component Visual Artifacts
Xu-2018-TOIT,Full-Interface Visual Artifacts
Zhang-2017-ASE,Full-Interface Visual Artifacts
