Citation,SE Task,SE Area
Caetano-2002-AAAI,Prototyping,Design
Coyette-2007-INTERACT,Prototyping,Design
Dixon-2011-CHI,Reverse\\nEngineering,Maintenance and Comprehension
Seifert-2011-MobileHCI,Prototyping,Design
Natarajan-2018-MOBILESoft,Reverse\\nEngineering,Maintenance and Comprehension
Huang-2019-CHI,Design\\nSearch,Design
Alegroth-2013-ICST,Acceptance\\nTesting,Testing
Amalfitano-2014-WISE,Acceptance\\nTesting,Testing
Bajammal-2018-ICST,Acceptance\\nTesting,Testing
Chang-2010-CHI,Acceptance\\nTesting,Testing
Chen-2017-IUI,Acceptance\\nTesting,Testing
Choudhary-2010-ICSM,Acceptance\\nTesting,Testing
Choudhary-2012-ICST,Acceptance\\nTesting,Testing
Choudhary-2013-ICSE,Acceptance\\nTesting,Testing
He-2016-ICWS,Acceptance\\nTesting,Testing
Kirac-2018-JSS,Acceptance\\nTesting,Testing
Kuchta-2018-EMSE,Acceptance\\nTesting,Testing
Leotta-2018-STVR,Acceptance\\nTesting,Testing
Lin-2014-TSE,Acceptance\\nTesting,Testing
Mahajan-2014-ASE,Acceptance\\nTesting,Testing
Mahajan-2015-ICST,Acceptance\\nTesting,Testing
Mahajan-2016-ICST,Acceptance\\nTesting,Testing
Patric-2016-ASE,Acceptance\\nTesting,Testing
Selay-2014-DICTA,Acceptance\\nTesting,Testing
Semenenko-2013-ICSM,Acceptance\\nTesting,Testing
Xu-2018-TOIT,Acceptance\\nTesting,Testing
Zhang-2017-ASE,Acceptance\\nTesting,Testing
Deka-2016-UIST,Automated Code\\nGeneration,Development
Deka-2017-UIST,Automated Code\\nGeneration,Development
Nguyen-2015-ASE,Automated Code\\nGeneration,Development
Reiss-2018-ASEj,Automated Code\\nGeneration,Development
Bao-2017-EMSE,Code/Documentation\\nSearch,Development
Ponzanelli-2016-ICSE,Code/Documentation\\nSearch,Development
Reiss-2018-ASEj,Code/Documentation\\nSearch,Development
Deka-2016-UIST,Design\\nSearch,Design
Deka-2017-UIST,Design\\nSearch,Design
Burg-2015-UIST,Feature\\nLocation,Maintenance and Comprehension
Bao-2017-EMSE,Interaction\\nDesign,Design
Bao-2018-TSE,Code/Documentation\\nSearch,Development
Moran-2018-ICSE,Regression\\nTesting,Testing
Moran-2018-ICSE,Acceptance\\nTesting,Testing
Moran-2018-TSE,Automated Code\\nGeneration,Development
Moran-2018-TSE,Prototyping,Design
Stocco-2018-FSE,Test Suite\\nMaintenance,Maintenance and Comprehension
Tanno-2018-ICST,Regression\\nTesting,Testing
Bajammal-2018-ASE,Automated Code\\nGeneration,Development
Moran-2018-ASE,Change\\nComprehension,Maintenance and Comprehension
Xiao-2019-ICSE,Test Case\\nGeneration,Testing
Deka-2016-UIST,Interaction\\nDesign,Design
Deka-2017-UIST,Interaction\\nDesign,Design
Wan-2017-STVR,Performance,Development
Li-2010-CHI,Prototyping,Design
Alegroth-2013-ICST,Regression\\nTesting,Testing
Amalfitano-2014-WISE,Regression\\nTesting,Testing
Bajammal-2018-ICST,Regression\\nTesting,Testing
